UBIGEO,DEPARTAMEN,PROVINCIA,DISTRITO,mean,min,max,std,count,percentile_10,percentile_90
210214,PUNO,AZANGARO,SANTIAGO DE PUPUJA,0.25407800674438474,-0.010106165893375874,0.4390160143375397,0.12493085622536325,10,0.14346632361412048,0.3809049129486084
151014,LIMA,YAUYOS,HUANCAYA,0.26810630162556964,-0.48696091771125793,1.1727111339569092,0.4482897607520601,9,-0.15941274166107178,0.8020334839820862
120106,JUNIN,HUANCAYO,CHICCHE,0.2690490782260895,-0.046655893325805664,0.5847540497779846,0.31570497155189514,2,0.016485102474689484,0.5216130614280701
120903,JUNIN,CHUPACA,CHONGOS BAJO,0.28154420852661133,0.26440784335136414,0.2986806035041809,0.017136380076414864,2,0.2678351104259491,0.29525333642959595
210207,PUNO,AZANGARO,JOSE DOMINGO CHOQUEHUANCA,0.31294530630111694,0.23920440673828125,0.386686235666275,0.07374091446399839,2,0.25395259261131287,0.3719380497932434
040607,AREQUIPA,CONDESUYOS,SALAMANCA,0.33288676738739015,-2.40272855758667,7.537853717803955,1.7236238642703512,40,-1.0365922451019287,1.8388111591339111
120803,JUNIN,YAULI,HUAY-HUAY,0.33544758955637616,-0.4710361063480377,0.936919629573822,0.5355396455415847,6,-0.3485168218612671,0.9061736464500427
090113,HUANCAVELICA,HUANCAVELICA,NUEVO OCCORO,0.33735811710357666,-0.5377214550971985,1.1859506368637085,0.5273075253710591,8,-0.2572571039199829,0.9794861078262329
210608,PUNO,HUANCANE,VILQUE CHICO,0.36303088244269877,-0.6195618510246277,0.9363698959350586,0.5279066391565785,17,-0.4972878694534302,0.9027764201164246
120405,JUNIN,JAUJA,CANCHAYLLO,0.45285606384277344,-1.744986891746521,2.8678054809570312,0.9893355220665152,32,-0.43938177824020386,1.6736805438995361
150720,LIMA,HUAROCHIRI,SAN JUAN DE TANTARANCHE,0.4600943724314372,-0.2376009076833725,0.8127776980400085,0.4933550077753939,3,-0.02905946969985962,0.8112434148788452
210704,PUNO,LAMPA,NICASIO,0.4845107078552246,0.10570520162582397,0.8762392997741699,0.2582675536475504,5,0.21146464347839355,0.7781354188919067
